country,population,2012,2013,2014,2015,2016,2017,2018,2019,HDI
Rwanda,12374397,0,0,0,0,0,0,0,1,0
Réunion,859959,2,6,0,0,1,6,2,4,3
Saudi Arabia,34218169,19,25,41,37,35,45,45,52,3
Senegal,16209125,0,1,0,1,1,1,2,2,0
Serbia,6963764,17,19,25,23,22,22,27,20,2
Sierra Leone,7901454,0,0,0,2,0,0,0,0,0
Singapore,5703600,15,13,12,11,19,26,41,37,3
Slovakia,5456362,40,18,43,25,31,46,32,30,3
Slovenia,2094060,38,38,23,35,34,29,33,34,3
South Africa,58775022,20,22,28,13,18,31,36,24,2
Spain,47100396,484,382,474,405,454,443,479,444,3
Sri Lanka,21803000,1,1,2,2,1,0,0,0,2
Sudan,42414220,0,0,2,1,0,0,0,0,0
Svalbard And Jan Mayen,1500,0,0,1,0,0,1,1,0,3
Sweden,10338368,187,202,211,219,232,244,237,253,3
Switzerland,8603900,500,479,584,502,643,668,655,723,3
Syrian Arab Republic,17500657,0,0,1,0,0,0,0,0,0
Taiwan,23604265,161,132,125,185,248,264,276,266,2
Tanzania,55890747,1,0,1,0,0,2,3,0,0
Thailand,66491705,0,1,0,1,6,3,10,9,2
Trinidad And Tobago,1363985,1,1,1,1,2,0,0,0,2
Tunisia,11722038,10,10,8,11,7,4,9,4,2
Turkey,83154997,109,92,146,172,257,156,142,105,3
Uganda,40299300,0,0,0,0,1,0,1,2,0
Ukraine,41879904,11,28,23,13,11,15,12,16,2
United Arab Emirates,9890400,5,6,8,11,15,15,19,14,3
United Kingdom,66435550,920,997,1120,1005,1301,1297,1385,1355,3
United States,329601928,788,706,855,816,902,944,957,1068,3
Uruguay,3518552,1,0,0,7,0,1,0,3,3
Uzbekistan,34118612,1,4,3,1,0,0,1,1,2
Venezuela,32219521,9,6,0,0,0,0,0,0,2
Viet Nam,96208984,0,0,0,1,2,0,0,0,1
Virgin Islands,30030,0,0,0,0,0,1,0,0,3
Yemen,29825968,0,1,0,0,0,0,0,0,0
Zimbabwe,15159624,0,0,0,0,0,0,0,1,1
